fiscalYear;period;catAccountingView;catFinancialView;revenue;otherIncome;grossMargin;operatingExpenses;operatingProfit;FinancialResult;EarningsBeforeTax;nonRecurringResult;netProfit
2015;201506;Charges;Opérationnel;104167.98;4065.35;225650.54;110244.02;71798.22;-1303.57;23738.85;13825.86;209775.49
2022;202204;Immobilisations;Non opérationnel;326492.56;23206.0;103611.89;247632.86;130370.85;16726.5;110397.86;-1916.28;189579.71
2018;201809;Produits;Opérationnel;172030.0;36214.49;407649.0;67642.53;173216.45;7684.31;136639.95;11847.87;237454.08
2015;201502;Produits;Financier;557692.38;22181.3;184449.59;115757.43;231768.7;8936.71;21388.12;11511.25;95600.23
2017;201705;Produits;Opérationnel;461982.8;19617.61;365632.9;270738.09;147699.33;-4500.39;215112.16;12658.09;55244.26
2022;202211;Produits;Financier;591296.37;30952.45;111845.66;181894.99;169168.65;7040.27;142462.31;7931.64;222401.85
2024;202407;Charges;Exceptionnel;261246.54;23966.49;272660.47;96502.83;47906.38;12647.32;275308.84;13214.3;87001.97
2022;202203;Trésorerie;Financier;668459.49;46937.4;467026.46;284508.73;163798.83;13170.35;217968.63;13394.36;134336.39
2022;202209;Charges;Financier;942671.41;9318.08;312437.05;133925.46;167198.7;1990.44;298200.63;-451.3;166092.7
2021;202101;Trésorerie;Financier;214485.54;35783.05;400260.07;75358.69;69010.47;-2556.58;59364.39;-4628.92;226557.91
2023;202307;Immobilisations;Non opérationnel;698099.15;44441.76;231530.24;283097.48;294450.05;-6160.69;177975.72;-3495.49;96899.95
2022;202205;Immobilisations;Exceptionnel;152949.79;25712.02;472070.86;257180.68;47592.31;14156.13;131588.9;-104.15;90295.84
2017;201703;Trésorerie;Exceptionnel;123310.6;15402.33;109154.22;193036.41;45632.52;18420.07;98274.12;989.28;67342.44
2017;201701;Charges;Financier;958836.82;18603.25;161256.63;80145.77;172654.54;18302.79;21712.89;-392.61;137148.36
2022;202212;Charges;Non opérationnel;609707.71;42559.78;168235.17;103431.5;64778.35;-4880.01;161403.39;717.17;150149.85
2016;201601;Produits;Exceptionnel;547034.96;40466.16;51354.98;94737.37;373830.5;-8259.06;71552.01;4606.56;9445.09
2021;202105;Charges;Non opérationnel;241276.86;1827.62;210078.21;75757.52;326430.63;11665.72;162516.98;11982.63;79201.79
2024;202410;Trésorerie;Financier;419626.98;22851.42;378688.92;192321.59;220127.4;-2347.76;266081.94;6496.17;170812.53
2020;202002;Immobilisations;Financier;702679.62;12129.9;293415.74;126459.99;15500.04;-4244.46;177961.33;8093.47;139368.14
2024;202411;Produits;Exceptionnel;304542.0;41827.24;475469.4;22375.81;395924.79;2505.65;31560.57;13018.58;60722.71
2020;202010;Charges;Opérationnel;765160.39;47840.33;453425.73;122684.68;284222.83;-4482.21;279033.68;11700.0;116331.96
2021;202107;Produits;Exceptionnel;790350.98;47021.63;193362.97;74499.32;99881.29;2569.93;56300.82;6180.26;213968.56
2020;202010;Produits;Non opérationnel;310304.03;26740.23;76608.69;175739.02;87523.58;-5276.46;289379.58;2319.38;29274.01
2020;202010;Charges;Opérationnel;111047.03;7788.44;298716.53;191410.33;346151.7;17047.91;213052.59;7525.92;115939.49
2016;201607;Immobilisations;Opérationnel;916429.43;24241.91;199734.27;139819.89;298112.48;4007.94;296712.36;3419.47;13538.83
2019;201911;Trésorerie;Non opérationnel;860473.82;33857.34;123954.6;133130.4;155554.65;15451.49;181480.95;3681.86;177672.54
2023;202311;Charges;Non opérationnel;471363.85;35801.27;343696.62;151306.33;14412.1;17578.25;281125.39;10511.32;199337.27
2021;202105;Immobilisations;Financier;335127.39;27332.28;71623.71;121469.59;187259.37;16228.2;174436.24;11473.02;225613.91
2024;202405;Charges;Non opérationnel;713492.92;41369.63;176158.85;123486.07;331436.18;-1320.26;295156.14;696.5;60505.26
2022;202204;Trésorerie;Financier;707277.76;20331.71;137752.3;200720.73;179446.33;19595.14;72021.15;-4894.22;68234.05
2019;201909;Charges;Opérationnel;616204.59;13554.12;468534.03;255483.17;114297.21;16511.65;159066.26;-4974.03;244942.06
2022;202208;Trésorerie;Opérationnel;804002.7;5330.96;387901.62;21606.81;257773.88;-9315.87;71364.24;-1960.35;226789.08
2018;201812;Immobilisations;Non opérationnel;588158.13;3454.02;288065.37;41913.03;358423.12;14681.25;183044.12;7902.68;236706.94
2015;201504;Immobilisations;Financier;384668.08;17404.54;238335.16;294487.95;262331.42;6170.69;241496.03;5014.65;106877.26
2016;201608;Trésorerie;Exceptionnel;464407.06;12412.05;289677.99;233054.41;197934.65;17218.54;61003.11;13979.03;13206.82
2017;201706;Immobilisations;Opérationnel;159156.23;13636.69;243777.18;184874.37;385531.29;7882.25;172683.21;8556.12;228578.96
2021;202106;Produits;Opérationnel;457832.22;17540.17;277909.91;161351.84;289371.81;16148.03;256731.89;9684.95;99799.78
2017;201703;Charges;Financier;902372.05;48095.13;189439.47;291390.55;58850.23;3224.59;27927.22;13004.08;159916.53
2021;202101;Trésorerie;Opérationnel;914284.24;41863.87;118601.14;53191.71;386853.56;9294.13;46728.54;11052.23;16706.34
2018;201810;Charges;Exceptionnel;747828.8;27909.92;462746.91;170204.31;289793.25;9856.81;115847.3;8654.17;132307.49
2019;201907;Trésorerie;Opérationnel;819332.51;15241.34;160131.89;34867.51;204280.95;12985.44;81893.98;1060.38;91730.26
2018;201804;Charges;Opérationnel;401172.04;42161.64;430531.15;137512.22;78062.05;-5113.46;97568.68;14669.29;134070.65
2021;202106;Immobilisations;Financier;496730.49;8309.28;455080.1;106619.47;56071.81;16200.08;190577.94;9962.9;76422.33
2017;201712;Immobilisations;Exceptionnel;236879.34;28590.04;291072.48;278344.84;314752.71;11754.47;176225.02;5182.09;27114.45
2019;201907;Trésorerie;Opérationnel;752188.31;24955.61;469852.79;54515.81;283528.81;7406.72;71187.25;-771.99;97513.19
2024;202410;Charges;Non opérationnel;159027.48;6217.81;252858.72;60128.88;180496.92;6550.63;132525.28;9000.23;116221.82
2022;202202;Produits;Exceptionnel;201197.37;18295.7;56904.61;256570.12;80337.35;-9901.79;278645.84;8721.28;102370.93
2024;202407;Produits;Opérationnel;195916.7;37935.29;122950.89;91875.09;49533.54;-1200.77;119541.58;10233.85;68135.03
2021;202105;Produits;Opérationnel;957599.89;18446.98;293892.18;258330.92;59976.54;-5761.16;13214.75;2218.88;115077.12
2019;201911;Charges;Non opérationnel;588626.34;21130.97;245387.52;246298.04;262931.71;14913.86;245326.59;3966.99;170623.22
2015;201502;Trésorerie;Non opérationnel;820092.05;42688.04;402053.48;268572.2;101978.73;-3496.38;16272.74;-3272.45;182339.89
2019;201901;Charges;Opérationnel;831612.66;7764.96;140117.27;54902.92;39293.22;-4016.08;48547.2;8584.21;180358.22
2017;201708;Immobilisations;Non opérationnel;438697.32;4388.44;265649.26;140660.65;114480.98;14456.09;17140.82;10885.37;48236.49
2023;202308;Trésorerie;Financier;175149.0;23267.3;141075.07;99167.36;267396.63;251.64;227860.31;-2157.51;34096.13
2022;202207;Produits;Opérationnel;693353.39;46602.71;146102.87;124378.61;350443.1;-8413.88;109854.69;2041.78;243160.66
2019;201901;Immobilisations;Non opérationnel;531629.18;18817.75;79235.49;278230.5;45938.87;14531.15;206584.82;7754.12;97249.55
2019;201907;Trésorerie;Financier;660380.31;15001.76;497707.5;87320.68;362759.68;9485.2;151638.12;6397.98;31872.78
2016;201603;Trésorerie;Non opérationnel;590960.64;2688.33;154717.23;252425.67;298190.14;7026.22;188298.91;10541.41;210305.98
2016;201611;Trésorerie;Opérationnel;563814.22;33811.9;216472.14;190652.24;192283.33;4334.3;192267.49;11875.36;99965.8
2018;201809;Produits;Financier;865197.48;38331.83;347466.85;89877.14;399746.73;-8720.44;51425.69;-3851.65;58828.66
2019;201911;Produits;Opérationnel;258970.33;8183.15;342632.52;118631.43;176210.41;8154.41;98887.55;13185.03;230032.48
2015;201503;Trésorerie;Financier;539855.88;11522.06;145060.8;128283.61;374454.56;-6589.47;70059.03;11800.15;192219.77
2023;202311;Immobilisations;Financier;861877.23;2743.7;264539.86;210247.75;333204.07;12247.18;192094.07;3765.34;177546.6
2021;202111;Trésorerie;Exceptionnel;585068.46;4633.53;475668.71;195236.33;35652.23;18507.64;115394.57;9858.37;97372.39
2019;201901;Charges;Opérationnel;822055.26;29300.29;351403.89;169664.82;138279.06;7721.86;54855.12;6680.97;18558.52
2022;202207;Trésorerie;Financier;871025.14;7444.24;477854.7;168571.24;267228.42;-8687.97;102589.84;14756.69;194996.58
2016;201610;Charges;Exceptionnel;404085.42;31712.12;52431.41;151804.51;255783.7;8675.68;90612.57;13448.08;27815.21
2018;201806;Charges;Financier;112601.08;3612.3;431287.62;36948.6;162308.4;-9849.17;114879.92;-2825.26;93019.73
2018;201805;Immobilisations;Financier;533166.19;49007.25;128463.49;85145.22;260423.22;10571.25;79775.99;-4025.46;190587.02
2022;202207;Produits;Non opérationnel;751116.72;25668.38;263074.36;92768.27;269886.64;16751.75;207621.36;-1187.27;207324.25
2020;202011;Immobilisations;Non opérationnel;136182.16;20327.97;262804.45;44478.23;147202.14;5677.75;150418.38;-407.51;198374.22
2023;202311;Charges;Non opérationnel;725517.95;14165.73;74883.78;85258.76;147675.86;-5879.76;176124.05;-4383.0;42518.02
2015;201502;Immobilisations;Exceptionnel;905349.22;5771.32;322405.12;237879.53;161091.31;8529.78;15808.34;7397.23;58530.07
2020;202004;Charges;Non opérationnel;846740.97;11074.17;224742.94;248850.52;280126.08;10365.54;22755.98;3521.91;60182.1
2016;201602;Immobilisations;Non opérationnel;900250.59;11193.56;202884.0;232370.25;89951.42;-5044.21;200089.81;3012.93;172245.87
2020;202001;Immobilisations;Exceptionnel;178156.98;31122.24;143269.95;180505.31;133309.97;-4046.69;75965.08;8341.17;124823.0
2017;201702;Immobilisations;Financier;934263.13;23479.97;170745.08;95350.41;390317.26;478.51;144432.53;-3405.83;35278.81
2021;202101;Produits;Exceptionnel;820456.7;20656.15;186051.0;75453.13;93273.91;7119.86;165118.02;7800.21;217797.26
2022;202205;Charges;Non opérationnel;392975.68;33805.4;312551.65;281327.28;270371.74;5036.37;162895.05;6492.49;8057.09
2019;201909;Immobilisations;Exceptionnel;365856.41;1191.58;53982.29;243165.33;375998.95;3015.32;21726.81;8347.0;73109.45
2021;202102;Produits;Non opérationnel;223287.52;14516.42;115457.4;191727.57;344458.97;11991.12;75670.09;3305.6;87721.88
2023;202302;Charges;Exceptionnel;656530.71;10530.81;166190.76;251748.04;246830.44;-4082.41;149120.56;12985.11;170823.92
2022;202201;Trésorerie;Opérationnel;356080.86;47253.86;230084.27;188565.1;360223.77;-6062.83;278341.86;4410.44;62228.3
2015;201502;Charges;Non opérationnel;275380.93;13899.94;255968.34;94560.11;32936.55;4445.11;292381.68;-566.7;51380.89
2018;201808;Immobilisations;Opérationnel;423727.37;31952.66;389707.36;298696.79;43352.31;2022.94;97323.22;12850.74;35938.59
2024;202403;Immobilisations;Financier;355528.2;5918.24;171043.22;269301.36;203479.33;-6199.29;127833.05;14302.88;132476.17
2024;202401;Immobilisations;Opérationnel;847023.82;30698.96;248822.43;110120.53;395757.25;6747.35;93257.71;10199.26;22063.79
2018;201801;Produits;Opérationnel;305678.99;3746.68;445885.89;266311.33;286330.21;3168.97;114314.24;11462.8;185591.14
2016;201611;Immobilisations;Opérationnel;436789.65;17546.28;496893.21;188055.15;326804.41;7088.25;42506.27;13118.03;110095.5
2023;202311;Charges;Financier;150376.19;48109.12;452334.06;287030.58;248519.36;13363.52;200570.94;14564.5;172462.61
2018;201806;Produits;Opérationnel;733436.67;21411.34;73318.28;279394.64;98801.43;2571.01;127557.25;11927.05;112191.76
2021;202110;Immobilisations;Exceptionnel;309804.15;33710.49;117067.8;207115.12;250679.33;10448.41;153351.09;4957.48;27865.51
2018;201806;Produits;Opérationnel;516526.5;21633.4;422440.41;126864.05;258000.33;17187.41;215349.01;12904.35;203257.47
2021;202109;Produits;Exceptionnel;616621.33;21018.69;133488.39;289063.92;287756.58;19320.17;19762.27;14272.07;197161.16
2020;202011;Immobilisations;Opérationnel;714502.95;40216.22;221680.19;268799.14;248610.03;18877.98;181866.57;994.91;137509.14
2015;201510;Trésorerie;Exceptionnel;759646.37;15595.67;132608.72;37082.66;396867.94;-9330.1;110962.17;-1999.44;131139.75
2019;201909;Trésorerie;Non opérationnel;478003.97;7335.01;499522.85;181410.01;157290.65;5377.91;288362.55;4732.64;241009.15
2024;202401;Trésorerie;Exceptionnel;366837.21;47391.26;490732.42;123617.64;181307.58;-369.47;35244.08;1517.79;80845.92
2021;202105;Immobilisations;Exceptionnel;347073.1;49855.84;96119.99;137077.36;283092.69;-6671.28;224092.76;2468.0;116995.81
2015;201506;Produits;Opérationnel;173655.9;23825.99;464580.06;152034.29;300664.62;8002.48;73218.84;897.34;178195.67
2019;201912;Produits;Financier;682885.16;24793.43;390356.13;118064.1;104104.43;3019.92;59382.84;-192.0;20304.09
2020;202011;Immobilisations;Non opérationnel;326313.87;25941.18;464795.93;89319.5;19161.51;15384.96;77828.28;-1476.17;214787.87
2021;202101;Immobilisations;Non opérationnel;897675.76;21014.03;291196.8;181562.41;381195.37;11591.23;126750.98;926.56;45537.92
2024;202411;Produits;Opérationnel;990972.95;10120.36;246416.01;66780.64;141051.51;19252.39;183681.16;-1316.14;88898.48
2022;202203;Immobilisations;Non opérationnel;214296.25;48317.64;398655.55;275571.29;83085.65;-856.25;13285.89;12907.58;246515.26
2022;202209;Trésorerie;Exceptionnel;551487.12;24510.46;310241.46;84915.67;209523.84;2127.92;85000.17;10331.42;10267.19
2021;202103;Produits;Exceptionnel;668149.23;4406.11;206288.01;142211.28;321380.82;2665.84;54478.48;9763.88;223727.02
2022;202203;Immobilisations;Non opérationnel;241997.67;33597.74;457198.18;293373.16;112995.9;2038.49;49049.28;13042.95;215363.41
2024;202401;Charges;Non opérationnel;401950.07;10632.93;159242.32;255703.23;148064.57;-2862.87;169531.1;6494.34;136536.48
2022;202208;Produits;Exceptionnel;173467.56;4241.64;106141.74;205433.86;255425.75;2297.51;29149.09;1600.43;125595.95
2020;202005;Trésorerie;Opérationnel;414926.94;6310.28;204083.33;52976.65;216038.6;10802.59;137390.11;11324.81;169737.15
2023;202303;Trésorerie;Opérationnel;947397.14;35736.86;258841.47;64534.87;388559.18;6555.52;132553.05;4780.6;51173.68
2024;202410;Immobilisations;Exceptionnel;816470.46;16743.52;247583.97;196559.77;112394.75;294.72;162147.67;7400.35;202455.71
2023;202306;Charges;Exceptionnel;793813.25;15984.89;431425.92;275324.09;175060.34;-2961.24;94743.35;7045.18;168141.87
2017;201710;Produits;Exceptionnel;541685.52;4321.22;108794.48;25672.42;12571.88;1983.75;123548.62;-933.41;157123.27
2019;201908;Immobilisations;Exceptionnel;534209.36;22435.15;315139.46;130557.17;373291.43;-2939.95;226401.22;260.6;56560.14
2018;201812;Immobilisations;Opérationnel;848334.61;6084.56;68968.84;237396.63;108293.01;1189.56;145356.29;14354.92;102504.6
2024;202402;Trésorerie;Financier;318729.04;7748.06;141172.45;57284.43;82919.65;2086.05;259379.53;12571.05;203599.27
2018;201810;Charges;Non opérationnel;109822.38;8602.89;145044.47;258583.88;377267.17;4340.0;192653.18;1726.67;127195.32
2023;202308;Charges;Financier;262643.08;30787.43;246444.55;229130.06;211137.57;3063.9;177794.71;-921.87;31946.53
2024;202408;Produits;Opérationnel;633125.65;25164.08;279390.93;260025.49;260077.52;13056.7;180702.64;-2842.58;64224.99
2022;202206;Produits;Opérationnel;407879.68;4659.45;192652.15;292481.21;27321.82;10774.18;86977.28;5127.04;133544.64
2017;201711;Charges;Financier;955050.45;39010.26;131144.19;192987.15;190599.15;4733.47;258305.54;9292.02;165401.91
2023;202310;Charges;Opérationnel;447285.66;6990.07;278692.9;292317.77;73691.15;19306.43;190131.75;11784.1;198391.39
2017;201710;Trésorerie;Opérationnel;654434.62;14359.47;315716.69;74049.31;300314.15;-2895.59;161402.21;-1635.31;57069.26
2021;202110;Produits;Opérationnel;619889.61;16231.9;211644.01;43791.47;242799.06;17988.02;284232.63;-4745.18;237823.1
2016;201603;Charges;Exceptionnel;806661.72;35775.34;482469.89;291071.56;353372.95;8773.8;58928.36;9952.81;169274.71
2020;202004;Immobilisations;Opérationnel;472521.19;11176.16;415746.55;194002.87;16786.9;-92.16;13056.76;670.14;135270.48
2019;201903;Produits;Non opérationnel;403121.41;14802.28;269316.94;199574.17;330830.4;296.5;137989.48;-644.89;116425.29
2020;202001;Trésorerie;Financier;835525.3;1873.78;78222.96;199070.36;323033.83;157.64;254730.44;-3053.97;72704.93
2015;201506;Charges;Exceptionnel;382653.27;31762.87;455129.34;258221.78;359105.04;3724.05;206318.97;2745.97;210299.11
2016;201602;Immobilisations;Non opérationnel;203832.06;26476.61;324332.71;125339.87;217855.7;5647.86;70148.68;6101.42;65296.38
2021;202101;Produits;Opérationnel;875590.45;45847.54;146523.35;173643.82;323903.6;11446.15;258108.42;9115.63;170109.31
2015;201507;Produits;Opérationnel;552953.17;26322.94;114742.94;152046.09;363472.67;-481.39;233398.6;-4713.85;42679.31
2022;202208;Charges;Financier;443050.83;29456.65;390784.67;215446.91;392300.16;-4102.48;243902.03;8939.39;94128.55
2017;201711;Charges;Financier;637714.38;39349.65;381127.95;187272.88;198411.2;15873.2;96022.61;-4403.36;84808.96
2017;201708;Produits;Financier;436704.77;11071.18;387288.47;63968.51;53433.71;9044.42;171918.39;13213.99;80498.73
2024;202412;Produits;Exceptionnel;151990.94;46713.71;331638.68;158498.99;152296.95;1746.99;134798.33;6712.16;219303.81
2018;201808;Produits;Non opérationnel;488271.23;38211.76;354500.14;238320.64;214073.55;19379.64;274618.82;11298.3;60985.88
2024;202409;Immobilisations;Financier;732807.63;43192.7;462137.16;198674.37;288481.66;-6299.59;234272.18;3962.79;104929.73
2023;202308;Charges;Opérationnel;345165.68;41862.73;216599.95;179131.2;399574.74;3425.75;102571.16;6496.28;81592.66
2019;201906;Trésorerie;Exceptionnel;310819.31;4309.49;258243.06;133310.47;307846.71;7286.76;160286.94;1411.59;76105.71
2017;201707;Charges;Exceptionnel;306620.6;11042.97;484039.38;163751.38;41340.57;14939.85;29610.18;-2297.42;77280.41
2023;202309;Produits;Financier;801705.15;13280.92;468343.85;285706.62;257915.59;3752.06;84660.37;11787.2;148604.14
2016;201601;Immobilisations;Opérationnel;456242.01;43921.43;431920.2;267521.6;274403.68;18208.13;33391.94;9689.41;141162.14
2024;202411;Immobilisations;Opérationnel;778968.21;12303.21;173910.0;164354.05;30040.26;-1118.85;265177.11;11344.38;35275.66
2015;201505;Produits;Exceptionnel;875462.94;41121.1;264524.13;167805.0;261339.15;11800.42;95070.07;-4971.21;88638.46
2016;201608;Produits;Opérationnel;506826.95;19552.72;101657.22;22144.63;157385.83;1156.83;284306.07;7432.74;107615.16
2022;202209;Charges;Exceptionnel;230288.25;29828.46;338903.48;269267.62;334985.54;14828.56;42264.11;14459.53;178138.69
2022;202206;Produits;Non opérationnel;322650.7;43719.61;267430.25;147331.37;226327.6;13492.88;283343.45;11865.01;32939.39
2016;201607;Trésorerie;Financier;545444.31;41672.35;321893.97;74397.25;219075.64;11073.24;12053.53;8591.63;155371.29
2019;201908;Immobilisations;Financier;692124.44;41220.62;355778.2;122792.59;185945.41;-9807.6;30885.61;8876.38;153044.04
2017;201703;Produits;Financier;901641.55;34077.13;131242.78;211905.72;196349.01;-3374.31;156536.63;-3886.41;177486.2
2019;201903;Charges;Financier;288821.9;17454.17;190961.82;273274.7;130773.28;5688.94;42791.18;14436.82;240014.58
2021;202106;Charges;Non opérationnel;784257.14;35834.34;241362.52;229174.69;194894.84;4482.98;247001.36;6649.16;138962.99
2018;201807;Produits;Non opérationnel;531538.75;6135.71;445949.49;59684.83;30833.26;4519.47;227757.46;8525.23;29323.87
2023;202307;Produits;Exceptionnel;456589.34;3626.8;59535.9;69457.5;215973.46;11078.62;144216.45;10550.37;217372.92
2017;201705;Charges;Opérationnel;532875.4;6592.3;212425.52;181246.25;338113.74;16023.36;131852.8;13474.72;117412.24
2018;201808;Immobilisations;Non opérationnel;223769.06;9731.52;308305.18;168152.6;87488.21;-5775.3;56483.28;11587.26;188279.84
2023;202308;Immobilisations;Non opérationnel;624342.74;33968.34;475419.99;133454.82;87494.83;-7529.57;57751.12;12885.57;38987.53
2017;201705;Charges;Financier;718761.19;36560.17;185880.57;193768.2;343810.12;-1727.03;236608.76;7207.82;169558.39
2015;201506;Charges;Opérationnel;540431.67;6134.97;376771.35;295834.74;385197.64;-6412.09;249517.47;12062.99;168062.44
2018;201807;Charges;Opérationnel;811749.63;4727.53;312472.48;141034.92;52898.49;12806.47;49796.71;4436.08;249512.89
2022;202207;Charges;Opérationnel;859117.89;6733.62;305438.78;292129.98;261075.06;985.07;198814.41;-1087.79;61409.95
2024;202408;Produits;Financier;942099.58;13150.07;193884.81;51824.22;283724.34;15025.02;160382.47;-18.9;104284.47
2022;202206;Immobilisations;Opérationnel;548510.26;28149.02;370153.1;241648.03;310945.44;7699.41;217583.06;-2134.3;23121.95
2016;201612;Immobilisations;Opérationnel;629714.74;7171.91;467462.5;31987.38;41722.14;7284.83;171533.3;8430.42;5314.41
2019;201902;Charges;Non opérationnel;696920.53;24322.0;223524.77;25372.14;59996.69;6855.64;244839.19;7019.19;21045.98
2018;201812;Trésorerie;Non opérationnel;634268.49;44294.56;250398.35;228439.21;171636.45;16976.34;43456.8;10995.65;216513.85
2015;201510;Produits;Financier;601138.34;6557.6;312089.76;160073.35;138531.93;2590.58;82088.99;107.37;85095.09
2021;202104;Trésorerie;Exceptionnel;215780.67;23153.99;254917.69;118968.73;18300.02;5822.24;58661.11;9440.06;110124.23
2024;202404;Produits;Opérationnel;249201.06;2336.27;64208.97;168401.74;42029.1;17537.06;233997.36;4852.73;136240.22
2023;202308;Produits;Financier;892393.92;36505.16;442568.79;118932.46;353784.6;6082.53;237867.61;-2898.95;41897.89
2019;201911;Immobilisations;Non opérationnel;172002.34;32610.59;387122.37;97991.14;77723.8;6805.8;52505.74;-3722.03;115443.06
2024;202405;Immobilisations;Exceptionnel;503026.1;17480.68;399141.77;174612.65;397446.86;336.71;70433.09;13426.38;67501.66
2020;202012;Trésorerie;Financier;674447.9;9374.64;131267.47;161522.01;230250.83;6106.55;189799.84;8217.3;239689.26
2017;201703;Trésorerie;Opérationnel;235679.57;45330.52;340628.7;143438.29;198144.15;-9321.14;210030.26;4011.97;19033.16
2023;202309;Trésorerie;Opérationnel;308813.05;17285.62;413898.41;77431.25;150766.02;9336.79;169301.7;6090.15;173182.06
2018;201807;Charges;Exceptionnel;971031.93;48223.07;56007.98;235032.67;352612.35;2249.82;52515.41;209.63;53650.61
2018;201802;Charges;Opérationnel;500324.37;48182.99;78920.06;141406.75;131507.13;-7798.0;43600.22;13085.44;248954.9
2023;202304;Produits;Exceptionnel;589392.17;23831.68;272748.06;31224.48;162476.06;6341.81;120568.31;-3850.72;60862.24
2023;202301;Immobilisations;Exceptionnel;858526.69;23693.49;451697.38;108980.13;55463.07;1490.44;224140.74;2400.06;126006.53
2023;202307;Trésorerie;Financier;947394.86;15424.24;424377.14;45313.06;239155.52;678.84;246541.52;4105.63;8908.27
2021;202103;Immobilisations;Exceptionnel;520478.51;5321.55;94345.8;275681.3;79290.42;-502.44;97671.39;12848.96;119576.23
2017;201707;Trésorerie;Financier;129008.63;17134.77;443153.66;85141.69;63636.43;4330.78;179378.81;-4010.55;186088.61
2022;202210;Produits;Exceptionnel;208464.33;45265.61;448497.37;100849.99;358900.98;17575.65;91594.33;7302.57;84855.6
2022;202205;Produits;Financier;587370.58;3512.44;140609.26;257147.77;281591.47;2286.15;137214.35;3994.59;60979.77
2019;201909;Charges;Financier;280626.88;45423.18;374725.89;219707.98;394223.8;-9304.46;281068.22;8654.19;46888.63
2016;201604;Immobilisations;Exceptionnel;721789.63;6241.69;127221.44;282690.84;364318.51;4839.61;268786.29;307.45;63524.16
2015;201508;Immobilisations;Financier;258269.19;19990.06;412516.9;119051.79;395196.75;14365.52;152743.41;11455.18;195971.43
2018;201806;Charges;Non opérationnel;694103.18;16608.09;301793.37;100471.97;344236.29;-6657.51;162153.39;1462.6;165952.51
2024;202410;Charges;Opérationnel;259858.11;38336.96;432376.15;87271.74;232592.13;985.23;155244.42;14843.0;35032.83
2018;201803;Trésorerie;Financier;936918.7;43115.62;331575.95;67465.88;370364.41;14663.31;298362.16;14303.39;15412.96
2022;202206;Immobilisations;Exceptionnel;544609.57;24287.71;149034.7;146204.06;296842.69;-1197.71;159851.79;3874.92;153047.45
2022;202209;Charges;Opérationnel;316014.69;7779.52;466883.14;100905.0;168404.83;2312.54;274596.08;8025.88;195011.08
2020;202011;Trésorerie;Non opérationnel;866586.3;39274.89;267972.83;209194.91;204462.55;11462.28;93185.41;11900.44;86743.83
2019;201906;Produits;Opérationnel;709121.61;20792.78;66540.19;256367.65;95739.73;-5244.73;244649.26;-4049.39;219065.66
2019;201905;Charges;Non opérationnel;841669.87;15058.67;347742.04;270392.82;121901.69;-1326.76;217866.51;-374.88;62022.6
2021;202111;Charges;Opérationnel;293011.63;17184.31;182765.37;205916.89;12118.2;-6413.62;110318.85;4359.68;214246.77
2016;201603;Trésorerie;Financier;714531.51;5204.55;90621.63;232941.93;33639.46;4417.82;268873.95;12470.28;41795.05
2022;202211;Immobilisations;Opérationnel;995364.1;41251.62;493816.79;45135.55;198562.93;-6630.55;252100.6;3404.87;57544.87
2024;202409;Produits;Exceptionnel;313027.25;39597.45;216614.3;119587.77;177779.82;10611.94;273315.21;11421.01;174938.69
2017;201708;Produits;Opérationnel;254682.96;17857.66;340723.95;145892.91;194800.23;-2649.19;214596.43;-602.12;223431.26
2019;201909;Trésorerie;Non opérationnel;428816.36;40461.13;351921.77;260440.47;91509.53;7036.85;142158.43;487.17;140241.97
2021;202107;Immobilisations;Exceptionnel;884670.62;37271.58;403730.36;23341.71;368086.25;991.53;136842.81;9397.27;134776.31
2022;202204;Immobilisations;Exceptionnel;470027.67;29992.0;59723.65;202904.97;327597.3;15844.86;69782.85;1865.41;243967.4
2019;201912;Produits;Opérationnel;322814.84;15373.54;482920.22;148722.14;39986.53;15683.22;88300.73;-3719.06;118439.59
2019;201902;Produits;Opérationnel;550074.24;48281.61;168977.51;90143.78;295166.85;9717.48;149972.03;14299.06;41457.26
2024;202411;Produits;Financier;753680.82;27347.9;348483.16;103834.6;287995.6;5400.26;176917.25;3561.48;222056.09
2021;202102;Charges;Non opérationnel;620730.22;25707.02;215746.96;238448.04;216074.75;18587.15;231593.19;7162.23;30135.8
2018;201803;Trésorerie;Opérationnel;871525.78;25632.34;428005.72;211033.2;68423.72;9880.09;70052.8;12808.71;158366.71
2022;202201;Charges;Exceptionnel;486453.54;6212.61;278744.58;109101.08;23145.4;12167.79;291667.53;-3008.1;87049.59
2015;201512;Trésorerie;Opérationnel;728088.4;29219.32;461978.23;241221.48;125724.47;-8300.91;139151.14;-2802.16;14931.95
2020;202005;Produits;Financier;543889.93;31362.66;106686.16;189139.09;74864.05;18916.72;260182.72;5262.54;199639.46
2020;202010;Trésorerie;Exceptionnel;932488.11;12809.74;405699.84;82978.5;210414.31;15136.79;277139.53;10803.42;22390.95
2024;202410;Immobilisations;Financier;998342.91;2946.05;265859.61;41970.29;202557.96;9466.89;204937.77;12050.25;211285.2
2022;202202;Immobilisations;Exceptionnel;593220.3;30940.86;109895.33;85605.71;230701.08;14242.93;96321.52;-17.03;79720.72
2022;202212;Charges;Non opérationnel;694321.54;15833.27;294768.01;261695.98;75994.22;-398.85;71764.59;6522.19;37126.78
2022;202203;Charges;Financier;350389.98;46967.56;157458.14;121098.4;175320.04;1526.79;186875.04;14311.93;111967.78
